review,rating
"""Incredible piece of technology.I have this right center of my living room on an island kitchen counter. The mic and speaker goes in every direction and the quality of the sound is quite good. I connected the Echo via Bluetooth to my Sony soundbar on my TV but find the Echo placement and 360 sound more appealing. It's no audiophile equipment but there is good range and decent bass. The sound is more than adequate for any indoor entertaining and loud enough to bother neighbors in my building. The knob on the top works great for adjusting volume. This is my first Echo device and I would imagine having to press volume buttons (on the Echo 2) a large inconvenience and not as precise. For that alone I would recommend this over the regular Echo (2nd generation).The piece looks quality and is quite sturdy with some weight on it. The rubber material on the bottom has a good grip on the granite counter-- my cat can even rub her scent on it without tipping it over.This order came with a free Philips Hue Bulb which I installed along with an extra one I bought. I put the 2 bulbs into my living room floor lamp, turned on the light, and all I had to do was say &#34;Alexa, connect my devices&#34;. The default names for each bulb was assigned as &#34;First light&#34; and &#34;Second light&#34;, so I can have a dimmer floor lamp if I just turned on/off one of the lights by saying &#34;Alexa, turn off the second light&#34;. In the Alexa app, I created a 'Group' with &#34;First light&#34; and &#34;Second light&#34; and named the group &#34;The light&#34;, so to turn on the lamp with both bulbs shining I just say &#34;Alexa, turn on The light&#34;.I was surprised how easily the bulbs connected to the Echo Plus with its built in hub. I thought I would have to buy a hub bridge to connect to my floor lamp power plug. Apparently there is some technology built directly inside the bulb! I was surprised by that. Awesome.You will feel like Tony Stark on this device. I added quite a few &#34;Skills&#34; like 'Thunderstorm sounds' and 'Quote of the day' . Alexa always loads them up quickly. Adding songs that you hear to specific playlists on Amazon Music is also a great feature.I can go on and on and this is only my second day of ownership.I was lucky to buy this for $100 on Prime Day, but I think for $150 is it pretty expensive considering the Echo 2 is only $100. In my opinion, you will be paying a premium for the Echo Plus and you have to decide if the value is there for you:1) Taller and 360 sound unit.2) Volume knob on top that you spin (I think this is a huge benefit over buttons)3) Built in hub for Hue bulbs. After researching more, there are some cons to this setup if you plan on having more advanced light setups. For me and my floor lamp, it's just perfect.I highly recommend it and will buy an Echo dot for my bedroom now.""",1
"""I like to use it for listening to podcasts.  I like to set up the greeting in the morning to tell me what's new.  The one thing I don't like was getting it to recognize the radio station I wanted to listen to.  I finally got it working, but had to work through the bugs.""",1
The speaker is of surprising quality. Happy with the purchase.,1
"""So far it seems to be a very nice item. It picks up on my voice and understands me without any problems. The other day I asked it to turn down the music from the next room and it heard me just fine. I've only used it to listen to music and check the weather, but it has done both of those things very well.""",1
great price great product fire stick is the best i think works better then roku.,1
Love the product but dislike that I can?t sync up my Apple Music for Alexa to play,0
"""It's constantly buffering, to the point where you can't watch anything without interruption. I purchased on Prime Day plus I used rewards to pay for it, so in the end I paid next to nothing. If I had paid full price for it I might want my money back. We stopped trying to use it and went back to our old streaming device. I know our internet service is not the issue because we do not have this problem with any other devices that we stream from.""",0
"""Love my spot! My favorite feature is the &#34;Alexa, start my day.&#34; I love that I can hear the weather, traffic and even the word of the day! It even goes right into my favorite podcast while I get dressed!""",1
Very cool and lots of fun! Used for a week and still learning its capabilities.,1
"""Two weeks after setting it up it no longer works.  No connection, no light, no sound.  I guess I shouldn't have purchased a refurbished Dot.""",0
Bought my first echo dot and loved it so I got this for work. Absolutely love it!,1
I love the number of movies that are available using this device. Took me a little time to setup and learn how to work it. The only thing I miss is local channels.,1
Works like a charm.,1
Worked just as good as the two new Echo Dots i preciously purchases.,1
Quality not on par,0
I Love it !! Used one like this in Philly while visiting my son and decided to buy my own on Prime Day !,1
While I loved Alexa....this is a whole new level. Love it. Fun to watch movie trailers. Weather is so much more complete. When you listen to music....the lyrics appear. Still discovering all Echo Show can do. Highly recommend. Takes Alexa to a completely new world.,1
"""I am not super impressed with Alexa. When my Prime lapsed, she wouldn't play anything. She isn't smart enough to differentiate among spotify accounts so we can't use it for that either. She randomly speaks up when nobody is talking to her. Just today I unplugged her...not sure I'll ever use my Alexa again.""",0
Arrived on time and works amazing!!!,1
I loved it does exactly what it says,1
Great product we listen to music all the time,1
Works great and easy to set up!,1
Love it,1
"""Este producto llegó y a la semana se quedó sin olor, perdió toda su escencia, huele solo a alcohol""",1
"""I love the idea is the star trek computer at home. The skills are great, but the natural language work is mediocre.""",1
Being able to add speakers is a plus. I take it on my deck when I am outside. Just love it. I have my big Alexia in my bedroom,1
It has all I need for my life plans time date music,1
It's extremely useful in simple things like spotify and audible and things like that but sometimes it doesn't answer everything I ask but it's still nice to use.,1
"""I love this fire stick because after installing a few highly recommended apps, I discovered that a lot of the channels I don't have with my cable provider is included,  and I don't have to pay extra! Just subscribing to a few streaming apps will do and I still come out paying way less than cable tv.""",1
"""Just as advertised, bought as a gift, great price, fast shipping!!""",1
Nice product but as intelligent as we thought or had hoped.,0
So far all.i can say is I love it,1
I really love that all my apps are in one spot,1
The speaker sounds really good,1
"""Amazingly fun. My daughter and I just asked questions on the first day. I have now set my daily alarm, weekend reminder, playlist, morning shows, random songs, daily bible verses, weather, and morning commute. It tells me which way to go dodging traffic. You have to get one. I don?t have it linked to my phone yet.""",1
It works,1
Love this wished I had gotten it sooner,1
"""Love it! I?ve listened to songs I haven?t heard since childhood! I get the news, weather, information! It?s great!""",1
Awesome!,1
The tech isn?t there. It doesn?t understand most common words and is basically a glorified radio,0
"""I sent it to my 85 year old Dad, and he talks to it constantly.""",1
this is my first Alexa enabled device and so far its lived up to its reputation!,1
This is the best Amazon speaker with Alexa in it.  But if you?re thinking it?s a good smart hub you?re wrong. Are you can do is connect your smart lights and devices to it and tell Alexa to Turn them on and off. That?s it! You?re better off buying separate hubs so you have more control of your devices.,0
I really like the echo dot. It?s amazing to be able to set an alarm or timer just by talking to the echo dot.,1
wonderful product and fast delivery!,1
I LOVE ALEXA!! SHE ROCKS!!!,1
I don?t like that it goes into sleep mode after 20-30 minutes of ?inactivity?. I shouldn?t have to ?wake up? the fire tv to finish watching a show.,0
"""I like that she has the ability to do multiple different things like create a to do list, set and alarm, play any song I can think of and much more. I wish the sound could be a tad louder.""",1
Love the Alexa feature. Firestick is working just fine.,1
"""Connecting and sound are perfect! I only give 4 because the is no internal battery, if I disconnect to the power source, it will be off.""",1
"""Did t really know what I could use this device for. Used it for a few things, but need an overview""",1
"""Love these,  great sound... easy to connect and use...""",1
"""We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.""",1
"""Works great, love the fact you can play the same music on a group of devices.""",1
"""Very capable.  Language recognition is the best I've experienced.  Great sound, too!""",1
Love it!,1
We got this as a wedding gift and haven?t discovered all of its features yet. Will update. Playing music is great though!,1
"""I loved how easy this was to install sry up, and use! Simply amazing.  So amazing we bought two!This allowed us to officially """"CUT THE CABLE CORD"""".Love it!""",1
of course!,1
Love the product. Nice to have easy access to so much info!!!,1
"""Bought a refurb, and its works just as my new ones I bought prior! Came in original packaging as well!""",1
Super easy to hook up and program. I use the music feature the most but I love how I can set reminders from my phone and my Echo will remind me at the set time. It?s great for my news updates too!,1
I really like the echo dot. It?s amazing to be able to set an alarm or timer just by talking to the echo dot.,1
"""Listens well, does way more than expected, love her!""",1
Love it!,1
"""I absolutely love this! Very user friendly and I got the Kasa Cam to go with it to monitor my living room. Super easy to set up and operate. I only wish it actually came with the camera privacy cover and pivoting stand which you can buy separately. I?m looking forward to future software updates for different clock faces. I like digital but I miss the colon in between the hours and minutes on most of them. I?d also like to see more celebs jump on board for the alarm voices. I really have no complaints, I?m being nit picky at this point. Worth every penny!""",1
"""I got it to try side by side with the Echo originale. They are essentially the same in dimension, weight and the woofer is the same save for the smaller tweeter point up instead of down and the built in hub. As many folks already pointed out, the hub is not a direct replacement for the Philips Hue, Z wave or anything else. It provides a sub set of features available from the stand alone hub and you ended up losing functionality that you took for granted on the dedicated hub. For me, the voice recognition and music play capability is the same, the original Echo may have an edge on the volume department due to larger speakers. The new Echo plus is priced lower than the original Echo with the built in hub but I don't really need the hub with less functionality. In addition, I don't think that Amazon will have software updates for this hub as other dedicated hub would have so bugs could end up never fixed. My Philips hub gets software update probably once every couple months and it keeps up with the changes in the new bulbs FW and they fixes bugs. Net net for me, this Echo does not do anything more than the original Echo and sound quality is not as good. With the  original Echo available as refurbished I would check that out first before considering this or the new Echo which is clearly inferior to both of these.""",1
Love the fire stick. Alexa works well on it too. Would recommend.,1
I like it,1
Very easy to set up and have no issues.,1
Works great with my existing smart home setup.,1
Not substitute for the original.  The echo dot performs well but sound quality is poor.  To listen it has to be at the highest level 10.,0
"""Works great! I recommend it to anyone who has prime, WiFi and an hdm1 tv. That?s all u need. I?m not really technologically savvy but even I was able to set it up with included and on screen directions.""",1
After only a couple of days Alexa did not answer. I have disconnected and will see if it does any better after reconnecting.,0
So far I love it.  It was easy to set up - if I can do it anybody can.  Speakers are great and its fun to play my music with just a voice command!,1
Sound very nice perfect for the price,1
"""Really disappointed Alexa has to be plug-in to wall socket all the time.  My fault for not checking this, but made the assumption that a company has technologically advanced as Amazon would sell this product with a rechargeable battery.  If I could return it, I would as my Apple music and boom speaker give me more flexibility the Alexa.""",0
All of my echo devices stopped communicating properly with Sonos devices upon connecting the echo show to my account. Asking any echo device to play music on Sonos baffled the system that had previously worked flawlessly. This went on for two weeks until I eventually solved the problem that neither Amazon nor Sonos could figure out.,0
"""My mom bought a few Echo Dots and repeated ask me to take one of hers because it was so great. I told her ?no? for two days. When she made me take it, 6 hours later I could not live my life without it!  It?s that amazing, so now we have four large speakers and only the small Echo Dot, that I will be returning to her. I say if you?re going to order an Alexa speaker, go big and get the Echo, otherwise tou?ll Be returning the two Echo Dots you couldn?t live without.""",1
"""It,is,what it is and than some. Sounds great too. On,y thing I dont like the camera being seen by anyone working for amazon  I asked echo show to show me camera and didn?t know what I was saying but knows how to turn camera on and off but can?t dhiw u what?s recording hmm""",1
Excellent why didn?t I think it is in the beginning I love it,1
My Father liked the added programing in which he is interested.,1
Easy to set up and connect with smart devices. Just what I needed!,1
"""I love my new Echo Dot! Right now, I mainly use it to play music at night, but it gets the job done.""",1
"""This product replaces the 1st generation Fire Stick I had, and what an improvement in speed in both showing Amazon content but ALL apps downloaded on PRODUCT! I bought in on PRIME day for $19 .... BEST DEAL EVER !""",1
I like it and still learning how to use it.,1
"""I wanted a white dot for my white bathroom.  The top is black as shown, which I knew, but I did not realize the cord and plug were also black. I wanted a white cord and plug.""",0
One problem you need to buy an app from amazon to mirroring your iphone .. app price 2.99$ .. other than that the device is perfect,1
Great entertainment,1
"""This was a replacement of an older version of Fire Stick. I haven't tried the Alexa voice part of this remote yet, but it works great.""",1
Works perfectly,1
Great easy to set up.A little difficult to navigate and the instructions are non existent,1
"""It's better than the 1st gen in every way except for one.  I really miss the ring at the top for volume control.  It was quicker and easier to just grab the top and twist without having to look at the buttons and find the &#34;-&#34; one and press it a few times.  I also wish the bass was a bit better.  All in all, it's a great device and I'm happy with it.""",1
I want my money back please,0
"""Easy to set up, can control Kasa smart plugs no problem.  Even the kids have figured stuff out that I would not have asked Alexa, like telling jokes and singing. The Alexa app controls my custom spark plug and my cloud cam.""",1
Totally clear picture with numerous channels available. Used for my kitchen tv,1
Purchased this for myself and am just beginning to learn all that it can do.  So far am very pleased and amazed at the different actions it can perform.  Am enjoying it and looking forward to learning more about other options it provides.,1
Very easy to hook up. Download the app and it walks you through the setup,1
This device does not interact with my home filled with Apple devices.  How disappointing!,0
"""Great price, works perfectly. Saved the money on a refurb!! Would buy again!""",1
love it,1
I like almost everything,1
I love it. It does everything,1
Plug n Play set up is simple. Added battery base to make it portable. Looking forward to using the hub.,1
Really happy with this purchase.  Great speaker and easy to set up.,1
I didn?t order it,0
It does everything  the big guy does,1
I returnef this item because it does not speak Spanish,0
"""I was hesitant to buy the echo because I have the echo Dot and it seems good enough. The echo is the same except the sound quality, which I really didn't feel I needed. However, I am so glad I got it. What a difference! The sound really is far superior to the Echo Dot! Now I can listen to The Greatest Showman with a little more power!""",1
The echo works well. I was able to sync it with my other Amazon music devices.,1
Luv it.  It's a great product.,1
This is our second echo show.  We have a home in Mexico and one in the USA.  Now when one of us is in the other home we can easily stay in touch and see each other.  We can also drop in on the houses when we aren?t there to check on them.  We use it to turn on and off the lights and security systems in both homes.  We also have echo dots in various rooms.  We love all this technology!  We ask her many questions and she plays music for us.,1
Love it and how easy it is to use. One of the best Prime Day purchases we have made.,1
Worked like new.  Will do it again.,1
"""I love this thing.  I enjoy watching the daily news, play music with lyrics (most songs), ordering my coffee..etc""",1
"""Initially, this echo dot worked very well. Over time, the dot stopped responding to 'alexa' unless you were within one foot of it yelling. The other echos/echo dots in other rooms would respond without a response from this echo dot. Would not recommend buying refurbished.""",0
Love it so easy to use,1
it takes a while to learn the uses and I'm still learning!,1
The best ever,1
Alexa rocks,1
Nice product,1
"""Besides being fun, it also has many practical aspects--a real bonus for those with vision issues!""",1
Great streaming device,1
This is a fun toy.  My daughter have me it.  It reads to me!,1
"""I took a chance on a certified refurbished unit for $29. Looks brand new...no excuses or disappointments. 5 minute trouble-free set up! Effortless bluetooth speaker connectivity through the Alexa App on my iPhone was flawless. Listening to my favorite tunes through a Bose Bluetooth setup and couldn't be happier. Walk through the door and just ask Alexa to: &#34;Play 80's music&#34; and viola... instant atmosphere! No more opening the iPad, going to settings, turning on bluetooth and then accessing the Pandora app. It just makes things so effortless. A true joy right out of the box! If I didn't discover any other uses for this fine piece of technology it was worth every penny!""",1
We are still discovering all that the Echo can do.,1
We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1
Too difficult to set up.  It keeps timing out before you can enter the password,0
The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.,1
"""Listening to music, searching locations, checking time, looking up weather. There are many more task to learn. It was simple to set up.""",1
Easy to connect and the skills created for our Echo 2nd Gen worked fine with the Dot.,1
Able to watch all of the shows I love and more.,1
Use the product for music and it?s great!,1
Home entertainment.,1
"""Bought this a few weeks ago -  everything about this product is excellent !!!!! Don't forget to buy a charger when ordering, it's a must have to take outside by the pool and not have to worry about hiring an electrician to put in outlets all over the yard.""",1
Love the fire stick and the amazon customer service!!!,1
Speaker is better than 1st generation Echo,1
Works well. Just disappointed with the speaker quality. But hooked it up to old computer speakers.,0
"""just what I expected,already have 2 other  shows""",1
I love how it is Alexa enabled. I just say the show I want to watch and &#34;she&#34; knows how and where to find it for me!,1
Easy to install. Up and running in minutes.,1
"""I?m still unable to connect any devices although it says it has a built in hub. So bought a bridge to connect the devices thinking that everything would sync and my other devices are still not discovered via my echo plus and I was looking forward to this feature. Being able to play music, check the weather etc is fine.""",0
"""We now have a dot, spot, echo and show and love the show and spot best. The show has great sound and my wife loves the display for weather, recipes and sing alongside. Super deal.""",1
The speaker has excellent sound and works perfectly!,1
wonderful product and fast delivery!,1
Love my Echo!,1
Awesome piece of technology that has simplified my life. Great purchase.,1
"""There was something wrong with the first one that no even the rep I spoke with could fix. The replacement was registered to someone else. When the price of the Dot went down to $39.99 (same price as the refurbished ones), I bought a brand, spanking new one. No problem with the new one.""",0
Love my Echo,1
"""This is my second Echo, I have the Dot but the speaker is weak so I purchased this and for listening to music the speaker is great.""",1
You?re all I need...na na nana!,1
Not much features.,0
We all love her!,1
Easy to Install. Very clear speaker. I took one star off because it was delivered late by OnTrac-like usual.,1
Works as advertised! It says Alexa is always learning. That's great because I am just learning all the things Alexa can do.,1
The speakers on these devices are surprisingly good. The functionality of each echo device is fantastic.,1
A great investment. Alexa has helped me out and made me laugh.,1
"""Listening to music, searching locations, checking time, looking up weather. There are many more task to learn. It was simple to set up.""",1
"""Works well, but the speaker is not so grand. Getting another speaker to drop this into. In the future I would have just gone with the full size echo.""",1
Works as expected,1
I have 2 of them the one I have to reset it at least once a week or so some times twice,1
amazing product with amazing sound!,1
I bought and love them. Alexa is very convenient.,1
"""Works great to control the TV lights and various other devices. Lately I've been using it when i wake up and don't know what time it is but don't want to open my eyes. Just shout out &#34;Alexa, What time is it?&#34; if i could just figure out how to get it to do house hold chores and walk the dogs it'd be golden! sound is not that great but with its size what can you expect. The Echo Plus has much better audio but that is what you get with the larger more expensive Echo.""",1
Great product. I have two and may want to buy a third!,1
"""Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.""",1
It was easy to use for our bedroom TV.,1
"""If you want to listen to music and have it come through several of the Echo/Dot units simultaneously, YOU MUST PAY A MONTHLY FEE. I thought this was Amazon, not Apple??!! I?ve paid for many of these so I could have one in each room, is that not enough of my money??!!??""",0
This thing is great. Has good sound and does everything I expected. I have it linked in with my lights and use it with alarm.com as well.,1
Working below par,0
I love the Echo Dot. So easy. So fun. I get to drop in on my Grandaughter who lives about 2000 miles away. Sounds like she is right next to me.,1
"""Love Alexa, bought others for friends""",1
She doesn?t always listen,1
Alexa's sister (my second dot),1
"""Lovee it! It has evrything I need it, now I cant even get my dad out of my room hahahaha... movie addicts.""",1
Just like the other one,1
Great. Definitely gets a little old after a while but for $30 I can't really regret it at all. Love having it hooked up to my speakers via bluetooth and waking up to The Smiths.,1
Love our echo,1
looks great,1
Speechless,1
"""The Echo Plus is great! So easy to set up and with the built in hub, it connects to other Alexa devices with a mere verbal command. I am 62 and not super techno knowledgable but this was easy for me. Have my lights integrated with Alexa and now looking at security cameras and locks. Definitely recommend the Echo Plus!""",1
"""I'll be returning it.  It's been nothing but annoying.  The hub can't be turned off if not needed and it interferes with my Hue Bridge.  I can't even install Philips lights with it unless I unplug it to do so.  There are plenty of other reviews that go in depth with the issues.  Bottom line is it sucks as a hub.  It doesn't support z-wave and zigbee (which in fairness I knew in advance), but when the one protocol it does support doesn't do many functions that a dedicated one will, what's the point?  I noticed right away that my Philips Hue Bridge supports firmware upgrades to the light bulbs themselves and this doesn't.  I found that rather interesting.""",0
Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.,1
Great interface.  i enjoy the voice remote,1
But not very loud,1
Very pleased,1
Having so much fun with Alexa. Love being able to listen to music when I?m across the room or busy doing something else.,1
Turned our old TV into a smart TV. Really easy interface. Have bought 4 now.,1
Love the Echo Dot. Helps husband get Netflix and other apps on our Amazon Fire TV.  No problems with it being refurbished. Planning on getting another one for the Amazon Fire Stick in bedroom.,1
"""Very fast service,  got what I ordered. Thank you""",1
"""Alarm and music, information the weather""",1
LOVE IT!!!!!,1
You?re all I need...na na nana!,1
It works great the speaker sounds fine and overall would recommend,1
Has weird pauses in her speech pattern that are not present in my other echo devices.,0
I purchased the Fire Stick to be able to watch movies at my convenience. I love that there is such a variety of genres. I also enjoy it gives you the ability to watch TV shows too. It's Awesome!,1
"""Works great, can't tell it was refurbished and set up in kids mode.  I have 3 in my home and will be adding more. I love these things.""",1
"""I love my Echo Dot!  The price I paid during Prime Day was comparable to buying a new digital clock with the bells and whistles, but this does so much more.  I can play music, set alarms, call friends, play games, set timers...the list goes on and on.  Definitely worth the money.""",1
"""Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo.""",1
It is fantastic.,1
"""Still need more AI built into it to interact better. It needs to continue the conversation sometimes if the finding / answer needs to be right. You can't keep stop Alexa and ask again and again. Also, it should be able to access the wikipedia, dictionary in many areas with better and fast access.Needs to hear us better. Also, we should be able to name it on our own instead calling Alexa or Echo. Price can be reduced a bit (value based) and updates should be auto and daily to improve it.  Connectivity to other home equipment can be imrproved as well.Good product with good sound quality, but needs more AI built in.""",0
It was perfect,1
Totally gets out sense of humour,1
"""I have 2 Echos, one I bought brand new and the other is a refurbished one.Honestly, I can't tell the difference in performance and looks.""",1
Loved it till someone stoled it. Can't afford to replace it yet but I am going too.,1
Love this device,1
"""Good quality, great sound quality""",1
"""I've only got to use it for a couple of weeks before having to go into the hospital, but had good time with it for the short time I did use it. It was fun trying to use Alexa""",1
"""Have only had it set up for a few days. Still adding smart home devices to it. The speaker is great for playing music. I like the size, we have it stationed on the kitchen counter and it?s not intrusive to look at.""",1
My son loves his Echo Dot.,1
"""Love, Love, Love my Amazon Echo Plus!!????""",1
Love it,1
"""Great device, features are awesome, the interaction is fantastic. Home automation works perfect if you link up your accounts correctly. My only issue is out of (4) Echo Shows (2) of them have been sent off for repair because of the screen glitching!! These are less than 3 months old and already having issues!First repairs were sent off and they ?updated the firmware? when I got the device back nothing worked, I had to update to the newest firmware for it to work again. Then (2) weeks later the glitch starts up again!I love the show but I?m getting really frustrated with the glitching.""",0
"""This worked well for about 6 months but then stopped connecting to the internet (wifi) and none of the trouble shooting efforts worked.  Amazon customer service couldn't help further and told me warranty was only 3 months, which was very disappointing, so they weren't willing to replace.""",0
The ease in installing,1
It was easy to set up and affordable! Love it!,1
"""Very cool product. Easy to setup, fun to use and sound quality is much better than I anticipated.""",1
"""Bought this for the guest room.  It's a radio, alarm clock, information? center and so much more.""",1
"""I like to watch older shows, 70's and 80's, and the firestick gives me the opportunity to find those shows.""",1
Love it it's number 4!,1
I like that it responds every time. It was easy to set up.  I'm still learning what I can do with it. I may like a better speaker more.,1
The first one quit working shortly after I got it. The next one becomes unresponsive to my voice at times and the only way to get it to work is through the app. I am not sure if it just this Dot or they are all this way.,0
Best price we could find and it is so useful to have her around to answer questions. It is so handy to not have to find your phone. I also now have an intercom system.,1
We love this.,1
"""Love Echo, everywhere I go in my house she's always reminding me, playing music or talking to me.  Love her.""",1
LOVE it. I got this for my boyfriend for his birthday and his kids have a blast asking Alexa all kinds of questions and having her tell silly jokes. We love it.,1
I wanted to use these as a radio and intercom as we get terrible fm reception where i live.  The speech recognition software is horrible.  My wife and i both are native Americans whose language is English she is from the north i am from Texas  neither have an accent from our birth area and yet it does not do a good job understanding us.  We bought two they do the same thing.  Additionally wifi reception was poor to marginal. I had to buy Wifi range extender for office and the other is ten feet from our router.  Both had problems Switched them around no difference.  So it they are now disconnected dust collectors.,0
Love the Echo Plus!! Much better versatility than the first generation Echo. Intercom and voice-controllable smart bulbs are awesome!,1
I love my fire stick,1
I am very pleased with the Fire Stick.,1
Super easy set up and am loving our new Echo!,1
WORKS GREAT,1
Loved it.,1
I never had ALEXA before but the biggest reason I bought it was for YOUTUBE and apparently YOUTUBE stopped supporting it and that is why it will get 4 stars.... it's mostly YOUTUBE's FAULT but I worked around it by using my cell phone as a blue tooth connected to hear things but still takes the voice activate purpose away but the speaker is amazing to hear my youtube watch later playlist,1
"""This is our 5th Amazon Echo device.  We have purchased refurbished before and been satisfied, this time is no different.  You can't tell this from brand new, and the price was $10 cheaper.  Our Echo's wake us up, keep timers, play music for us, act as encyclopedias, turn our lights on and off and so much more.""",1
Love it,1
"""I am really enjoying the many different features on my Alexa, especially listening to music and audio books""",1
Use the product for music and it?s great!,1
We like it better than Roku.  Voice commands really work.,1
I bought this specifically for the smart hub capability. So far it has been great. Easy set up instructions for all the various brands compatible with it.,1
Dont trust this....,0
"""It won?t work as a blue tooth speaker with my tv,it connects but won?t work""",0
"""I love this device. I upgraded from the Echo Spot. I just wish I could customize the clock on my screen to analog, to mimic what I was used to in the echo spot. Also, there is better sound quality on this device.""",1
Nice product A+,1
Love the TV/movie selection. I really like the fact that I can just rent a movie if they don't have it in their selection.,1
"""I bought this for my healing room.  I play continuous spa like music. Although Alexa knows the type of music needed, the device does not deliver quality sound it sounds muffled.  I didn't know I had to buy speakers too.""",0
Doesn't always respond when spoken to with promp word. I thought it would connect to my echo upstairs and use it like an intercom haven't been able to do that.,0
Like it. Still working discovery. Really too soon to fully evaluate. But looking forward to learning and using it.,1
Broke in the first week,0
Alexa is pretty basic and almost like a toy. Shouldn't have been released into the market without proper development. Speech recognition fails to understand basic American and British Accent.The music it can play is very restrictive. Speech isn't refined in a way that we understand a (almost a) human is speaking. Linking to Youtube via amazon web services doesn't work.,0
"""awesome thing, love Alexa""",1
"""Very pleased with my purchase of Echo Smart Speaker - love the fact that I can play music of different genre's whenever I want.Had some trouble at first with the WI FI, but it is now working.""",1
Perfect works great no problems with it being refurbished.,1
I enjoy it. Still discovering new uses.,1
This thing is awesome. We watch it more then the regular cable. Going to by more on Black Friday as Christmas gifts.,1
"""Alexa is a decent speaker if that's all you need. She is terrible at most other things. She consistently answers questions that were not asked or says &#34;hmmm I don't know that&#34; for everything else. We've gone back to just using our phones because she can't really look anything up. Pretty much everyone makes fun of me for spending money on this when I had an awesome Bose bluetooth already. I bought her because my mother (who lives alone) uses hers a lot and is happy with it, but we have a full house with kids and I'm less than impressed. I'd never recommend it to anyone except for senior citizens who love alone and need to be able to shout out for help in the event of a fall.""",0
"""Works great.Having fun playing music,checking weather,a king questions.""",1
"""We like it all so far, but have a lot to try out yet.""",1
We like the video calling feature. We got this so we can be in contact with our elderly parents and it works well,1
Was a gift,1
"""I like the built in hub. Plus the unit sounds great, just wish it had a volume control on it.""",1
"""So far it seems to be a very nice item. It picks up on my voice and understands me without any problems. The other day I asked it to turn down the music from the next room and it heard me just fine. I've only used it to listen to music and check the weather, but it has done both of those things very well.""",1
"""I love it, it is just what I thought it would be!!!  I'm addicted!""",1
Can't fault it,1
"""i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.""",1
Mainly use it for the music but I?m learning more all the time.  Really nothing bad to say about it,1
Outstanding product - easy to use.  works great,1
Very cool product. Speaker sounds good with my Spotify blasting through it.,1
"""I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.""",1
Works great in my large open room,1
"""Still haven?t learn all the Echo can do, but so far, quite pleased!""",1
"""I am so disappointed in this product.  I tried to install two different units and neither one of them were successfully completed.  Hours with Amazon technicians.. resetting each of them.  The app didn't connect the Echo Plus to the internet connection.  Tried using the application on a phone, a tablet and on a Chromebook... No luck.  There are no clean directions on the application.  Probably sending this back to Amazon..mark this as Not ready for prime time.""",0
"""I switched to google. The amazon helper is more for shopping, and google is the tasks assistant.""",0
Sounds a little better than the original plus it now has an interrogated Zigbee hub.  The hub is compatible with the GE Link bulbs.,1
"""I love my Echo Dot!  The price I paid during Prime Day was comparable to buying a new digital clock with the bells and whistles, but this does so much more.  I can play music, set alarms, call friends, play games, set timers...the list goes on and on.  Definitely worth the money.""",1
